feature,importance,std
concave points_worst,0.01345029239766085,0.007420220783888614
texture_worst,0.011111111111111146,0.005516948030442476
area_worst,0.009356725146198844,0.011533966621822248
concave points_mean,0.008187134502924001,0.007138336617388153
concavity_worst,0.008187134502924001,0.007138336617388153
perimeter_worst,0.004385964912280715,0.007425979590175633
texture_mean,0.004093567251462001,0.004376207469911056
smoothness_worst,0.0011695906432748575,0.006298438370917568
compactness_worst,0.0008771929824561431,0.0026315789473684292
concavity_mean,0.0005847953216374288,0.005516948030442475
fractal_dimension_se,0.0,0.0
symmetry_se,0.0,0.0
concave points_se,0.0,0.0
concavity_se,0.0,0.0
fractal_dimension_worst,0.0,0.0
smoothness_se,0.0,0.0
texture_se,0.0,0.0
fractal_dimension_mean,0.0,0.0
symmetry_mean,0.0,0.0
smoothness_mean,0.0,0.0
perimeter_se,0.0,0.0
radius_se,-0.0008771929824561431,0.0026315789473684292
radius_worst,-0.0008771929824561431,0.006925566831770202
area_mean,-0.0008771929824561431,0.00654474540514604
perimeter_mean,-0.0011695906432748575,0.006298438370917568
radius_mean,-0.0017543859649122862,0.005729800567913885
compactness_se,-0.002339181286549715,0.003879093322053111
area_se,-0.0029239766081871434,0.00413512737535994
compactness_mean,-0.003216374269005858,0.004227143945848247
symmetry_worst,-0.004093567251462001,0.005423168710816217
